time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.3,94,0.402,0.374
1985-09-11T01:00,,25.5,93,0.399,0.375
1985-09-11T02:00,,26.2,91,0.413,0.376
1985-09-11T03:00,,27.4,84,0.408,0.377
1985-09-11T04:00,,28.6,82,0.404,0.378
1985-09-11T05:00,,29.8,79,0.4,0.377
1985-09-11T06:00,,28.4,78,0.439,0.379
1985-09-11T07:00,,26.3,89,0.414,0.403
1985-09-11T08:00,,26.2,92,0.427,0.403
1985-09-11T09:00,,26.7,90,0.427,0.405
1985-09-11T10:00,,25.7,92,0.439,0.41
1985-09-11T11:00,,25.7,93,0.405,0.423
1985-09-11T12:00,,25.6,92,0.406,0.421
1985-09-11T13:00,,25.5,91,0.406,0.42
1985-09-11T14:00,,25.5,91,0.407,0.42
1985-09-11T15:00,,25.5,91,0.407,0.419
1985-09-11T16:00,,25.5,90,0.406,0.418
1985-09-11T17:00,,25.5,89,0.405,0.417
1985-09-11T18:00,,25.3,89,0.405,0.417
1985-09-11T19:00,,25.7,86,0.404,0.416
1985-09-11T20:00,,25.6,86,0.403,0.415
1985-09-11T21:00,,25.5,86,0.402,0.415
1985-09-11T22:00,,25.3,87,0.402,0.414
1985-09-11T23:00,,25.3,87,0.401,0.413
1985-09-12T00:00,,25.2,87,0.4,0.413
1985-09-12T01:00,,25.4,88,0.4,0.412
1985-09-12T02:00,,26.8,84,0.399,0.412
1985-09-12T03:00,,28.4,77,0.397,0.411
1985-09-12T04:00,,29.5,73,0.395,0.409
1985-09-12T05:00,,30.2,70,0.392,0.408
1985-09-12T06:00,,30.9,68,0.389,0.406
1985-09-12T07:00,,31.7,65,0.386,0.405
1985-09-12T08:00,,31.8,64,0.384,0.403
1985-09-12T09:00,,31.2,67,0.384,0.402
1985-09-12T10:00,,30.6,71,0.387,0.401
1985-09-12T11:00,,29.9,74,0.389,0.4
1985-09-12T12:00,,29.2,78,0.388,0.4
1985-09-12T13:00,,28.3,81,0.388,0.4
1985-09-12T14:00,,27.7,84,0.387,0.399
1985-09-12T15:00,,27.3,86,0.387,0.399
1985-09-12T16:00,,27.0,87,0.387,0.399
1985-09-12T17:00,,26.7,89,0.387,0.398
1985-09-12T18:00,,26.5,90,0.386,0.398
1985-09-12T19:00,,26.7,89,0.388,0.398
1985-09-12T20:00,,26.5,89,0.388,0.398
1985-09-12T21:00,,26.3,89,0.389,0.398
1985-09-12T22:00,,26.0,89,0.389,0.397
1985-09-12T23:00,,25.8,89,0.389,0.397
1985-09-13T00:00,,25.6,89,0.389,0.397
1985-09-13T01:00,,25.7,89,0.388,0.397
1985-09-13T02:00,,26.9,85,0.387,0.396
1985-09-13T03:00,,28.2,81,0.386,0.396
1985-09-13T04:00,,29.3,79,0.384,0.395
1985-09-13T05:00,,30.2,77,0.382,0.394
1985-09-13T06:00,,30.7,76,0.381,0.393
1985-09-13T07:00,,31.4,69,0.379,0.392
1985-09-13T08:00,,31.4,69,0.379,0.391
1985-09-13T09:00,,31.6,68,0.377,0.39
1985-09-13T10:00,,30.8,70,0.378,0.389
1985-09-13T11:00,,28.8,79,0.399,0.389
1985-09-13T12:00,,27.8,87,0.406,0.389
1985-09-13T13:00,,27.0,88,0.403,0.39
1985-09-13T14:00,,26.8,89,0.402,0.39
1985-09-13T15:00,,26.6,90,0.4,0.391
1985-09-13T16:00,,26.4,90,0.399,0.391
1985-09-13T17:00,,26.3,91,0.397,0.391
1985-09-13T18:00,,26.1,91,0.396,0.391
1985-09-13T19:00,,26.7,89,0.395,0.391
1985-09-13T20:00,,26.6,89,0.394,0.391
1985-09-13T21:00,,26.3,89,0.393,0.391
1985-09-13T22:00,,25.9,90,0.394,0.391
1985-09-13T23:00,,25.5,91,0.394,0.391
