time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,27.9,78,0.145,0.151
1986-06-13T01:00,,28.4,76,0.145,0.151
1986-06-13T02:00,,29.3,72,0.145,0.151
1986-06-13T03:00,,30.2,68,0.145,0.151
1986-06-13T04:00,,29.8,70,0.146,0.151
1986-06-13T05:00,,30.6,66,0.146,0.151
1986-06-13T06:00,,31.6,62,0.146,0.151
1986-06-13T07:00,,34.6,54,0.146,0.151
1986-06-13T08:00,,35.7,51,0.145,0.151
1986-06-13T09:00,,36.0,50,0.145,0.151
1986-06-13T10:00,,36.0,50,0.145,0.151
1986-06-13T11:00,,35.7,50,0.145,0.151
1986-06-13T12:00,,34.6,52,0.145,0.151
1986-06-13T13:00,,33.4,57,0.145,0.151
1986-06-13T14:00,,32.2,62,0.145,0.151
1986-06-13T15:00,,31.3,66,0.145,0.151
1986-06-13T16:00,,30.6,70,0.145,0.151
1986-06-13T17:00,,30.1,72,0.145,0.151
1986-06-13T18:00,,29.7,74,0.145,0.151
1986-06-13T19:00,,29.0,76,0.145,0.151
1986-06-13T20:00,,28.8,75,0.146,0.151
1986-06-13T21:00,,28.0,79,0.151,0.151
1986-06-13T22:00,,27.5,81,0.152,0.151
1986-06-13T23:00,,27.3,81,0.152,0.151
1986-06-14T00:00,,27.2,81,0.153,0.151
1986-06-14T01:00,,28.0,79,0.153,0.151
1986-06-14T02:00,,29.1,75,0.155,0.151
1986-06-14T03:00,,29.8,73,0.161,0.151
1986-06-14T04:00,,30.8,70,0.16,0.151
1986-06-14T05:00,,31.8,67,0.16,0.151
1986-06-14T06:00,,32.7,64,0.16,0.151
1986-06-14T07:00,,35.2,54,0.159,0.151
1986-06-14T08:00,,36.0,51,0.159,0.151
1986-06-14T09:00,,36.0,49,0.159,0.151
1986-06-14T10:00,,35.9,49,0.158,0.151
1986-06-14T11:00,,35.2,51,0.158,0.151
1986-06-14T12:00,,34.4,53,0.158,0.151
1986-06-14T13:00,,33.6,55,0.158,0.151
1986-06-14T14:00,,32.7,58,0.157,0.151
1986-06-14T15:00,,32.0,61,0.157,0.151
1986-06-14T16:00,,31.4,65,0.157,0.151
1986-06-14T17:00,,30.8,68,0.157,0.151
1986-06-14T18:00,,30.3,70,0.158,0.151
1986-06-14T19:00,,30.3,67,0.158,0.151
1986-06-14T20:00,,29.5,71,0.158,0.151
1986-06-14T21:00,,28.5,76,0.159,0.151
1986-06-14T22:00,,27.7,80,0.16,0.151
1986-06-14T23:00,,26.9,83,0.161,0.151
1986-06-15T00:00,,26.6,84,0.162,0.151
1986-06-15T01:00,,27.6,80,0.162,0.151
1986-06-15T02:00,,29.1,72,0.161,0.151
1986-06-15T03:00,,31.0,65,0.161,0.151
1986-06-15T04:00,,32.5,60,0.16,0.151
1986-06-15T05:00,,33.6,56,0.16,0.151
1986-06-15T06:00,,34.8,51,0.16,0.151
1986-06-15T07:00,,33.0,58,0.159,0.151
1986-06-15T08:00,,33.6,56,0.159,0.151
1986-06-15T09:00,,33.7,56,0.159,0.151
1986-06-15T10:00,,33.7,56,0.159,0.151
1986-06-15T11:00,,33.6,57,0.159,0.151
1986-06-15T12:00,,32.8,59,0.159,0.151
1986-06-15T13:00,,32.1,62,0.159,0.151
1986-06-15T14:00,,31.4,65,0.159,0.151
1986-06-15T15:00,,30.8,68,0.159,0.151
1986-06-15T16:00,,30.4,70,0.159,0.151
1986-06-15T17:00,,30.0,71,0.159,0.151
1986-06-15T18:00,,29.8,72,0.159,0.151
1986-06-15T19:00,,28.1,81,0.177,0.151
1986-06-15T20:00,,26.7,89,0.223,0.151
1986-06-15T21:00,,25.8,94,0.232,0.151
1986-06-15T22:00,,25.6,94,0.232,0.151
1986-06-15T23:00,,25.8,93,0.233,0.151
