time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,32.1,36,0.119,0.133
1986-06-13T01:00,,32.6,38,0.119,0.133
1986-06-13T02:00,,34.4,37,0.119,0.133
1986-06-13T03:00,,36.4,34,0.119,0.133
1986-06-13T04:00,,38.3,31,0.119,0.133
1986-06-13T05:00,,40.1,26,0.119,0.133
1986-06-13T06:00,,41.3,21,0.119,0.133
1986-06-13T07:00,,41.5,21,0.119,0.133
1986-06-13T08:00,,42.4,19,0.119,0.133
1986-06-13T09:00,,42.6,18,0.119,0.133
1986-06-13T10:00,,42.6,17,0.119,0.133
1986-06-13T11:00,,42.1,17,0.119,0.133
1986-06-13T12:00,,41.2,18,0.119,0.133
1986-06-13T13:00,,39.9,20,0.119,0.133
1986-06-13T14:00,,38.2,23,0.119,0.133
1986-06-13T15:00,,36.4,27,0.119,0.133
1986-06-13T16:00,,35.5,28,0.119,0.133
1986-06-13T17:00,,35.4,28,0.119,0.133
1986-06-13T18:00,,34.7,29,0.119,0.133
1986-06-13T19:00,,32.2,34,0.119,0.133
1986-06-13T20:00,,32.0,35,0.119,0.133
1986-06-13T21:00,,31.8,36,0.119,0.133
1986-06-13T22:00,,31.7,37,0.119,0.133
1986-06-13T23:00,,31.8,38,0.119,0.133
1986-06-14T00:00,,31.4,38,0.119,0.133
1986-06-14T01:00,,31.8,37,0.119,0.133
1986-06-14T02:00,,34.2,31,0.119,0.133
1986-06-14T03:00,,36.8,28,0.119,0.133
1986-06-14T04:00,,38.7,26,0.119,0.133
1986-06-14T05:00,,40.2,24,0.119,0.133
1986-06-14T06:00,,41.2,23,0.12,0.133
1986-06-14T07:00,,40.5,25,0.12,0.133
1986-06-14T08:00,,40.7,25,0.12,0.133
1986-06-14T09:00,,40.9,24,0.12,0.133
1986-06-14T10:00,,41.0,24,0.12,0.133
1986-06-14T11:00,,40.6,24,0.12,0.133
1986-06-14T12:00,,39.6,25,0.12,0.133
1986-06-14T13:00,,38.4,28,0.12,0.133
1986-06-14T14:00,,37.3,30,0.12,0.133
1986-06-14T15:00,,36.3,33,0.12,0.133
1986-06-14T16:00,,35.0,36,0.12,0.133
1986-06-14T17:00,,34.6,38,0.12,0.133
1986-06-14T18:00,,34.2,38,0.12,0.133
1986-06-14T19:00,,32.4,45,0.12,0.133
1986-06-14T20:00,,31.8,47,0.12,0.133
1986-06-14T21:00,,31.3,48,0.12,0.133
1986-06-14T22:00,,30.9,50,0.121,0.133
1986-06-14T23:00,,30.2,54,0.121,0.133
1986-06-15T00:00,,30.0,57,0.121,0.133
1986-06-15T01:00,,30.5,56,0.121,0.133
1986-06-15T02:00,,32.4,49,0.121,0.133
1986-06-15T03:00,,34.6,42,0.121,0.133
1986-06-15T04:00,,36.7,36,0.121,0.133
1986-06-15T05:00,,38.5,32,0.121,0.133
1986-06-15T06:00,,39.9,28,0.121,0.133
1986-06-15T07:00,,40.9,24,0.121,0.133
1986-06-15T08:00,,41.6,23,0.121,0.133
1986-06-15T09:00,,42.0,22,0.121,0.133
1986-06-15T10:00,,42.1,21,0.12,0.133
1986-06-15T11:00,,41.5,21,0.12,0.133
1986-06-15T12:00,,39.8,23,0.12,0.133
1986-06-15T13:00,,39.0,25,0.12,0.133
1986-06-15T14:00,,37.8,27,0.12,0.133
1986-06-15T15:00,,36.4,29,0.12,0.133
1986-06-15T16:00,,34.9,33,0.12,0.133
1986-06-15T17:00,,33.9,35,0.12,0.133
1986-06-15T18:00,,33.2,37,0.12,0.133
1986-06-15T19:00,,32.4,39,0.12,0.133
1986-06-15T20:00,,31.8,40,0.12,0.133
1986-06-15T21:00,,31.3,41,0.12,0.133
1986-06-15T22:00,,30.9,42,0.12,0.133
1986-06-15T23:00,,30.8,42,0.12,0.133
