time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,24.8,95,0.278,0.286
1985-09-11T01:00,,24.9,95,0.278,0.286
1985-09-11T02:00,,25.6,90,0.278,0.286
1985-09-11T03:00,,26.5,86,0.278,0.286
1985-09-11T04:00,,27.7,82,0.278,0.286
1985-09-11T05:00,,28.6,81,0.277,0.285
1985-09-11T06:00,,29.4,76,0.278,0.285
1985-09-11T07:00,,27.9,82,0.279,0.285
1985-09-11T08:00,,28.6,81,0.278,0.284
1985-09-11T09:00,,29.1,77,0.279,0.284
1985-09-11T10:00,,27.5,83,0.32,0.284
1985-09-11T11:00,,26.2,90,0.339,0.284
1985-09-11T12:00,,25.8,90,0.339,0.285
1985-09-11T13:00,,25.4,91,0.341,0.285
1985-09-11T14:00,,24.9,94,0.353,0.286
1985-09-11T15:00,,24.7,94,0.358,0.286
1985-09-11T16:00,,24.5,95,0.363,0.287
1985-09-11T17:00,,24.3,96,0.368,0.288
1985-09-11T18:00,,24.2,96,0.372,0.289
1985-09-11T19:00,,24.8,94,0.369,0.289
1985-09-11T20:00,,25.0,92,0.368,0.29
1985-09-11T21:00,,25.0,91,0.375,0.291
1985-09-11T22:00,,24.6,93,0.391,0.292
1985-09-11T23:00,,24.2,95,0.402,0.294
1985-09-12T00:00,,24.0,95,0.407,0.297
1985-09-12T01:00,,24.0,96,0.408,0.3
1985-09-12T02:00,,24.5,94,0.406,0.303
1985-09-12T03:00,,25.1,92,0.404,0.305
1985-09-12T04:00,,26.1,90,0.398,0.308
1985-09-12T05:00,,27.2,86,0.393,0.309
1985-09-12T06:00,,28.2,79,0.389,0.311
1985-09-12T07:00,,30.5,71,0.383,0.311
1985-09-12T08:00,,31.1,67,0.378,0.311
1985-09-12T09:00,,30.9,67,0.375,0.312
1985-09-12T10:00,,29.4,72,0.397,0.312
1985-09-12T11:00,,28.4,77,0.395,0.314
1985-09-12T12:00,,28.0,80,0.391,0.315
1985-09-12T13:00,,27.1,84,0.393,0.317
1985-09-12T14:00,,26.6,87,0.39,0.318
1985-09-12T15:00,,26.2,90,0.387,0.319
1985-09-12T16:00,,25.9,91,0.384,0.32
1985-09-12T17:00,,25.7,92,0.381,0.321
1985-09-12T18:00,,25.7,92,0.378,0.322
1985-09-12T19:00,,26.1,90,0.376,0.323
1985-09-12T20:00,,26.0,90,0.374,0.323
1985-09-12T21:00,,25.9,91,0.372,0.324
1985-09-12T22:00,,25.7,91,0.371,0.324
1985-09-12T23:00,,25.3,93,0.378,0.325
1985-09-13T00:00,,24.9,94,0.398,0.326
1985-09-13T01:00,,24.7,94,0.417,0.328
1985-09-13T02:00,,24.8,93,0.422,0.331
1985-09-13T03:00,,25.5,91,0.417,0.336
1985-09-13T04:00,,26.4,90,0.409,0.339
1985-09-13T05:00,,27.7,86,0.404,0.34
1985-09-13T06:00,,29.0,78,0.4,0.341
1985-09-13T07:00,,28.2,83,0.396,0.342
1985-09-13T08:00,,28.9,81,0.393,0.343
1985-09-13T09:00,,29.0,80,0.406,0.344
1985-09-13T10:00,,28.0,82,0.438,0.347
1985-09-13T11:00,,27.0,86,0.396,0.372
1985-09-13T12:00,,26.2,92,0.398,0.374
1985-09-13T13:00,,25.9,92,0.396,0.375
1985-09-13T14:00,,25.7,93,0.394,0.375
1985-09-13T15:00,,25.5,94,0.394,0.375
1985-09-13T16:00,,25.3,95,0.396,0.376
1985-09-13T17:00,,24.9,96,0.413,0.376
1985-09-13T18:00,,24.6,96,0.434,0.378
1985-09-13T19:00,,24.4,96,0.426,0.388
1985-09-13T20:00,,24.3,96,0.424,0.392
1985-09-13T21:00,,24.3,97,0.427,0.394
1985-09-13T22:00,,24.1,98,0.438,0.397
1985-09-13T23:00,,24.0,98,0.423,0.414
