time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.8,64,0.137,0.151
1986-06-13T01:00,,31.1,63,0.137,0.151
1986-06-13T02:00,,32.1,59,0.137,0.151
1986-06-13T03:00,,33.7,54,0.137,0.151
1986-06-13T04:00,,35.4,49,0.137,0.151
1986-06-13T05:00,,37.0,45,0.137,0.151
1986-06-13T06:00,,38.3,42,0.137,0.151
1986-06-13T07:00,,39.3,38,0.137,0.151
1986-06-13T08:00,,40.0,36,0.137,0.151
1986-06-13T09:00,,40.4,35,0.137,0.151
1986-06-13T10:00,,40.6,34,0.137,0.151
1986-06-13T11:00,,40.5,33,0.137,0.151
1986-06-13T12:00,,40.1,33,0.137,0.151
1986-06-13T13:00,,39.4,35,0.137,0.151
1986-06-13T14:00,,37.8,39,0.137,0.151
1986-06-13T15:00,,36.6,42,0.137,0.151
1986-06-13T16:00,,35.7,46,0.137,0.151
1986-06-13T17:00,,34.8,49,0.137,0.151
1986-06-13T18:00,,34.1,52,0.137,0.151
1986-06-13T19:00,,32.9,58,0.137,0.151
1986-06-13T20:00,,32.1,61,0.137,0.151
1986-06-13T21:00,,31.5,65,0.137,0.151
1986-06-13T22:00,,30.9,68,0.137,0.151
1986-06-13T23:00,,30.5,70,0.137,0.151
1986-06-14T00:00,,30.0,72,0.137,0.151
1986-06-14T01:00,,30.0,73,0.137,0.151
1986-06-14T02:00,,31.0,69,0.137,0.151
1986-06-14T03:00,,32.7,62,0.137,0.151
1986-06-14T04:00,,34.4,56,0.137,0.151
1986-06-14T05:00,,36.1,50,0.137,0.151
1986-06-14T06:00,,36.5,49,0.137,0.151
1986-06-14T07:00,,36.2,48,0.137,0.151
1986-06-14T08:00,,36.6,47,0.137,0.151
1986-06-14T09:00,,37.0,46,0.137,0.151
1986-06-14T10:00,,37.5,44,0.137,0.151
1986-06-14T11:00,,37.7,43,0.137,0.151
1986-06-14T12:00,,37.3,43,0.137,0.151
1986-06-14T13:00,,36.6,45,0.137,0.151
1986-06-14T14:00,,35.3,49,0.137,0.151
1986-06-14T15:00,,34.4,52,0.137,0.151
1986-06-14T16:00,,33.7,54,0.137,0.151
1986-06-14T17:00,,33.1,55,0.137,0.151
1986-06-14T18:00,,32.6,56,0.137,0.151
1986-06-14T19:00,,31.8,58,0.137,0.151
1986-06-14T20:00,,31.4,60,0.137,0.151
1986-06-14T21:00,,31.0,62,0.137,0.151
1986-06-14T22:00,,30.6,64,0.137,0.151
1986-06-14T23:00,,30.2,65,0.137,0.151
1986-06-15T00:00,,28.6,74,0.157,0.151
1986-06-15T01:00,,27.7,83,0.228,0.151
1986-06-15T02:00,,27.9,82,0.25,0.151
1986-06-15T03:00,,29.7,72,0.248,0.151
1986-06-15T04:00,,32.2,62,0.246,0.151
1986-06-15T05:00,,34.3,54,0.243,0.151
1986-06-15T06:00,,35.8,50,0.239,0.151
1986-06-15T07:00,,37.2,46,0.235,0.151
1986-06-15T08:00,,37.8,44,0.231,0.151
1986-06-15T09:00,,38.1,43,0.228,0.151
1986-06-15T10:00,,38.2,42,0.225,0.152
1986-06-15T11:00,,38.1,41,0.223,0.152
1986-06-15T12:00,,37.6,43,0.221,0.152
1986-06-15T13:00,,36.2,48,0.22,0.152
1986-06-15T14:00,,34.7,52,0.22,0.152
1986-06-15T15:00,,33.9,55,0.219,0.152
1986-06-15T16:00,,33.3,57,0.219,0.152
1986-06-15T17:00,,32.7,59,0.219,0.152
1986-06-15T18:00,,32.2,60,0.218,0.152
1986-06-15T19:00,,30.8,67,0.218,0.152
1986-06-15T20:00,,30.5,68,0.218,0.152
1986-06-15T21:00,,30.0,70,0.217,0.152
1986-06-15T22:00,,29.1,74,0.217,0.152
1986-06-15T23:00,,28.0,81,0.225,0.152
