time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.1,94,0.431,0.384
1985-09-11T01:00,,25.2,95,0.431,0.391
1985-09-11T02:00,,26.2,90,0.423,0.395
1985-09-11T03:00,,27.1,86,0.417,0.396
1985-09-11T04:00,,28.5,80,0.413,0.397
1985-09-11T05:00,,29.7,77,0.409,0.397
1985-09-11T06:00,,30.7,71,0.406,0.396
1985-09-11T07:00,,27.6,83,0.439,0.398
1985-09-11T08:00,,26.7,90,0.419,0.417
1985-09-11T09:00,,26.8,90,0.432,0.418
1985-09-11T10:00,,26.0,90,0.439,0.422
1985-09-11T11:00,,25.8,91,0.41,0.432
1985-09-11T12:00,,25.7,91,0.412,0.429
1985-09-11T13:00,,25.5,92,0.412,0.427
1985-09-11T14:00,,25.4,91,0.415,0.426
1985-09-11T15:00,,25.5,91,0.421,0.426
1985-09-11T16:00,,25.5,90,0.42,0.425
1985-09-11T17:00,,25.5,90,0.419,0.424
1985-09-11T18:00,,25.3,89,0.417,0.424
1985-09-11T19:00,,25.6,87,0.415,0.423
1985-09-11T20:00,,25.5,87,0.413,0.422
1985-09-11T21:00,,25.4,87,0.412,0.422
1985-09-11T22:00,,25.2,87,0.411,0.421
1985-09-11T23:00,,25.2,87,0.409,0.42
1985-09-12T00:00,,25.1,88,0.408,0.42
1985-09-12T01:00,,25.2,89,0.407,0.419
1985-09-12T02:00,,26.8,84,0.406,0.418
1985-09-12T03:00,,28.5,77,0.405,0.417
1985-09-12T04:00,,29.7,72,0.402,0.416
1985-09-12T05:00,,30.4,70,0.399,0.415
1985-09-12T06:00,,31.0,67,0.396,0.413
1985-09-12T07:00,,31.8,66,0.393,0.411
1985-09-12T08:00,,32.1,65,0.39,0.409
1985-09-12T09:00,,31.4,68,0.391,0.408
1985-09-12T10:00,,30.7,72,0.396,0.407
1985-09-12T11:00,,30.3,74,0.396,0.407
1985-09-12T12:00,,29.7,78,0.395,0.406
1985-09-12T13:00,,28.7,82,0.395,0.406
1985-09-12T14:00,,27.9,86,0.394,0.406
1985-09-12T15:00,,27.4,88,0.394,0.405
1985-09-12T16:00,,26.9,90,0.393,0.405
1985-09-12T17:00,,26.6,91,0.393,0.405
1985-09-12T18:00,,26.5,91,0.393,0.405
1985-09-12T19:00,,26.6,89,0.398,0.404
1985-09-12T20:00,,26.5,89,0.397,0.404
1985-09-12T21:00,,26.3,89,0.4,0.404
1985-09-12T22:00,,25.9,89,0.404,0.404
1985-09-12T23:00,,25.8,88,0.403,0.404
1985-09-13T00:00,,25.6,88,0.402,0.404
1985-09-13T01:00,,25.8,89,0.401,0.404
1985-09-13T02:00,,27.2,85,0.4,0.404
1985-09-13T03:00,,28.5,78,0.399,0.403
1985-09-13T04:00,,29.5,75,0.397,0.403
1985-09-13T05:00,,30.3,75,0.394,0.402
1985-09-13T06:00,,30.8,72,0.392,0.401
1985-09-13T07:00,,31.0,70,0.397,0.4
1985-09-13T08:00,,30.9,71,0.396,0.399
1985-09-13T09:00,,30.8,70,0.402,0.399
1985-09-13T10:00,,30.5,72,0.401,0.398
1985-09-13T11:00,,29.5,77,0.406,0.398
1985-09-13T12:00,,28.0,84,0.428,0.399
1985-09-13T13:00,,27.3,87,0.419,0.401
1985-09-13T14:00,,26.8,89,0.415,0.402
1985-09-13T15:00,,26.5,90,0.413,0.403
1985-09-13T16:00,,26.3,91,0.41,0.403
1985-09-13T17:00,,26.1,91,0.409,0.404
1985-09-13T18:00,,26.0,91,0.407,0.404
1985-09-13T19:00,,26.5,89,0.406,0.404
1985-09-13T20:00,,26.4,88,0.404,0.404
1985-09-13T21:00,,26.2,88,0.403,0.404
1985-09-13T22:00,,25.8,88,0.407,0.404
1985-09-13T23:00,,25.3,90,0.413,0.404
