time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.3,97,0.218,0.265
1985-09-11T01:00,,25.4,97,0.219,0.265
1985-09-11T02:00,,26.6,91,0.219,0.265
1985-09-11T03:00,,28.1,85,0.219,0.265
1985-09-11T04:00,,29.6,77,0.218,0.264
1985-09-11T05:00,,30.8,72,0.217,0.264
1985-09-11T06:00,,31.5,70,0.217,0.263
1985-09-11T07:00,,31.1,71,0.217,0.263
1985-09-11T08:00,,31.4,71,0.217,0.262
1985-09-11T09:00,,31.5,71,0.217,0.262
1985-09-11T10:00,,30.7,73,0.234,0.261
1985-09-11T11:00,,29.1,77,0.245,0.261
1985-09-11T12:00,,27.9,83,0.258,0.261
1985-09-11T13:00,,27.5,84,0.258,0.261
1985-09-11T14:00,,27.1,86,0.258,0.261
1985-09-11T15:00,,26.5,89,0.258,0.262
1985-09-11T16:00,,25.8,90,0.259,0.262
1985-09-11T17:00,,25.5,90,0.259,0.262
1985-09-11T18:00,,25.1,91,0.259,0.262
1985-09-11T19:00,,25.3,88,0.259,0.262
1985-09-11T20:00,,25.1,89,0.259,0.262
1985-09-11T21:00,,25.0,89,0.259,0.262
1985-09-11T22:00,,24.8,90,0.261,0.262
1985-09-11T23:00,,24.5,91,0.275,0.262
1985-09-12T00:00,,24.1,94,0.288,0.262
1985-09-12T01:00,,23.9,96,0.306,0.263
1985-09-12T02:00,,24.0,96,0.321,0.263
1985-09-12T03:00,,24.5,94,0.331,0.263
1985-09-12T04:00,,25.2,89,0.338,0.264
1985-09-12T05:00,,25.9,86,0.339,0.264
1985-09-12T06:00,,26.5,84,0.339,0.265
1985-09-12T07:00,,28.4,76,0.339,0.265
1985-09-12T08:00,,29.0,74,0.338,0.265
1985-09-12T09:00,,29.5,72,0.337,0.266
1985-09-12T10:00,,29.6,72,0.336,0.266
1985-09-12T11:00,,29.7,72,0.334,0.266
1985-09-12T12:00,,29.0,75,0.342,0.266
1985-09-12T13:00,,26.8,85,0.375,0.267
1985-09-12T14:00,,25.5,91,0.391,0.269
1985-09-12T15:00,,25.2,94,0.386,0.271
1985-09-12T16:00,,25.1,94,0.382,0.272
1985-09-12T17:00,,24.8,94,0.378,0.274
1985-09-12T18:00,,24.7,95,0.374,0.275
1985-09-12T19:00,,24.9,95,0.372,0.276
1985-09-12T20:00,,24.7,94,0.385,0.277
1985-09-12T21:00,,24.5,96,0.435,0.28
1985-09-12T22:00,,24.1,97,0.425,0.3
1985-09-12T23:00,,24.0,97,0.388,0.32
1985-09-13T00:00,,23.9,96,0.394,0.323
1985-09-13T01:00,,23.8,97,0.401,0.325
1985-09-13T02:00,,23.8,96,0.409,0.327
1985-09-13T03:00,,24.0,96,0.416,0.33
1985-09-13T04:00,,24.3,96,0.417,0.334
1985-09-13T05:00,,24.5,94,0.417,0.337
1985-09-13T06:00,,25.1,91,0.41,0.34
1985-09-13T07:00,,27.8,79,0.403,0.342
1985-09-13T08:00,,28.1,79,0.398,0.343
1985-09-13T09:00,,28.3,79,0.394,0.344
1985-09-13T10:00,,28.2,81,0.393,0.344
1985-09-13T11:00,,28.2,81,0.39,0.345
1985-09-13T12:00,,27.4,83,0.408,0.346
1985-09-13T13:00,,25.5,92,0.43,0.348
1985-09-13T14:00,,25.0,94,0.433,0.356
1985-09-13T15:00,,24.8,95,0.414,0.363
1985-09-13T16:00,,24.6,96,0.425,0.365
1985-09-13T17:00,,24.4,96,0.42,0.369
1985-09-13T18:00,,24.2,97,0.418,0.371
1985-09-13T19:00,,24.2,97,0.437,0.374
1985-09-13T20:00,,24.0,97,0.419,0.386
1985-09-13T21:00,,24.0,97,0.421,0.388
1985-09-13T22:00,,23.9,97,0.427,0.39
1985-09-13T23:00,,23.8,97,0.439,0.394
