time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.3,96,0.398,0.353
1985-09-11T01:00,,25.6,96,0.395,0.354
1985-09-11T02:00,,26.6,91,0.393,0.355
1985-09-11T03:00,,27.5,89,0.392,0.355
1985-09-11T04:00,,28.5,82,0.398,0.356
1985-09-11T05:00,,27.7,80,0.439,0.358
1985-09-11T06:00,,26.4,85,0.397,0.383
1985-09-11T07:00,,25.8,94,0.409,0.383
1985-09-11T08:00,,25.7,95,0.412,0.384
1985-09-11T09:00,,26.3,94,0.411,0.385
1985-09-11T10:00,,26.8,92,0.409,0.386
1985-09-11T11:00,,27.0,91,0.415,0.387
1985-09-11T12:00,,26.2,90,0.439,0.39
1985-09-11T13:00,,25.9,91,0.394,0.405
1985-09-11T14:00,,25.7,94,0.396,0.405
1985-09-11T15:00,,25.7,94,0.396,0.404
1985-09-11T16:00,,25.4,94,0.404,0.404
1985-09-11T17:00,,25.4,94,0.403,0.404
1985-09-11T18:00,,25.3,94,0.402,0.404
1985-09-11T19:00,,25.5,93,0.401,0.404
1985-09-11T20:00,,25.4,93,0.4,0.403
1985-09-11T21:00,,25.2,94,0.399,0.403
1985-09-11T22:00,,25.0,94,0.399,0.403
1985-09-11T23:00,,25.0,94,0.398,0.403
1985-09-12T00:00,,24.8,94,0.397,0.403
1985-09-12T01:00,,25.0,94,0.396,0.402
1985-09-12T02:00,,26.2,89,0.396,0.402
1985-09-12T03:00,,27.5,82,0.395,0.402
1985-09-12T04:00,,28.6,76,0.394,0.401
1985-09-12T05:00,,29.5,72,0.392,0.4
1985-09-12T06:00,,30.2,69,0.39,0.399
1985-09-12T07:00,,30.8,66,0.388,0.398
1985-09-12T08:00,,31.4,64,0.385,0.396
1985-09-12T09:00,,31.3,64,0.383,0.395
1985-09-12T10:00,,31.0,66,0.381,0.394
1985-09-12T11:00,,30.6,70,0.38,0.394
1985-09-12T12:00,,29.8,74,0.379,0.393
1985-09-12T13:00,,28.8,78,0.379,0.393
1985-09-12T14:00,,28.2,81,0.379,0.393
1985-09-12T15:00,,27.7,83,0.379,0.392
1985-09-12T16:00,,27.5,84,0.379,0.392
1985-09-12T17:00,,27.1,85,0.379,0.392
1985-09-12T18:00,,26.9,87,0.379,0.391
1985-09-12T19:00,,27.0,85,0.378,0.391
1985-09-12T20:00,,27.0,84,0.378,0.391
1985-09-12T21:00,,26.8,85,0.378,0.391
1985-09-12T22:00,,26.6,86,0.378,0.391
1985-09-12T23:00,,26.3,87,0.378,0.39
1985-09-13T00:00,,26.0,89,0.378,0.39
1985-09-13T01:00,,26.1,90,0.377,0.39
1985-09-13T02:00,,27.2,86,0.377,0.389
1985-09-13T03:00,,28.2,81,0.376,0.389
1985-09-13T04:00,,29.2,80,0.374,0.388
1985-09-13T05:00,,30.1,78,0.373,0.387
1985-09-13T06:00,,30.8,77,0.372,0.386
1985-09-13T07:00,,31.7,69,0.37,0.385
1985-09-13T08:00,,32.1,66,0.368,0.384
1985-09-13T09:00,,31.9,67,0.366,0.382
1985-09-13T10:00,,30.7,70,0.366,0.382
1985-09-13T11:00,,29.8,73,0.367,0.381
1985-09-13T12:00,,29.3,76,0.367,0.381
1985-09-13T13:00,,28.5,80,0.367,0.381
1985-09-13T14:00,,28.0,83,0.367,0.38
1985-09-13T15:00,,27.5,85,0.367,0.38
1985-09-13T16:00,,27.2,86,0.367,0.38
1985-09-13T17:00,,26.9,87,0.367,0.38
1985-09-13T18:00,,26.7,87,0.367,0.38
1985-09-13T19:00,,27.0,86,0.367,0.38
1985-09-13T20:00,,26.8,86,0.367,0.379
1985-09-13T21:00,,26.6,86,0.367,0.379
1985-09-13T22:00,,26.3,88,0.367,0.379
1985-09-13T23:00,,26.1,89,0.367,0.379
