time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,24.7,95,0.296,0.283
1985-09-11T01:00,,24.7,95,0.296,0.283
1985-09-11T02:00,,25.7,90,0.295,0.283
1985-09-11T03:00,,26.8,85,0.295,0.283
1985-09-11T04:00,,28.1,81,0.294,0.283
1985-09-11T05:00,,28.6,81,0.294,0.283
1985-09-11T06:00,,29.2,79,0.294,0.282
1985-09-11T07:00,,27.5,85,0.296,0.282
1985-09-11T08:00,,28.6,81,0.297,0.282
1985-09-11T09:00,,27.2,83,0.352,0.282
1985-09-11T10:00,,26.0,91,0.395,0.283
1985-09-11T11:00,,25.9,92,0.391,0.285
1985-09-11T12:00,,25.8,91,0.387,0.287
1985-09-11T13:00,,25.7,91,0.383,0.289
1985-09-11T14:00,,25.4,92,0.379,0.29
1985-09-11T15:00,,25.2,93,0.377,0.291
1985-09-11T16:00,,25.1,93,0.374,0.292
1985-09-11T17:00,,24.9,94,0.372,0.293
1985-09-11T18:00,,24.8,95,0.371,0.294
1985-09-11T19:00,,25.0,94,0.37,0.295
1985-09-11T20:00,,24.6,94,0.381,0.296
1985-09-11T21:00,,24.5,95,0.398,0.297
1985-09-11T22:00,,24.5,95,0.398,0.299
1985-09-11T23:00,,24.4,95,0.4,0.301
1985-09-12T00:00,,24.4,95,0.399,0.304
1985-09-12T01:00,,24.5,96,0.397,0.306
1985-09-12T02:00,,25.0,94,0.394,0.307
1985-09-12T03:00,,25.7,93,0.39,0.309
1985-09-12T04:00,,27.0,88,0.388,0.31
1985-09-12T05:00,,28.1,81,0.387,0.311
1985-09-12T06:00,,28.9,76,0.384,0.312
1985-09-12T07:00,,30.0,79,0.38,0.313
1985-09-12T08:00,,30.7,77,0.376,0.313
1985-09-12T09:00,,31.2,71,0.372,0.313
1985-09-12T10:00,,30.2,71,0.395,0.314
1985-09-12T11:00,,28.4,79,0.417,0.316
1985-09-12T12:00,,27.8,82,0.409,0.319
1985-09-12T13:00,,26.7,88,0.409,0.322
1985-09-12T14:00,,26.2,90,0.402,0.324
1985-09-12T15:00,,25.9,91,0.397,0.326
1985-09-12T16:00,,25.8,92,0.393,0.327
1985-09-12T17:00,,25.7,92,0.389,0.329
1985-09-12T18:00,,25.7,92,0.386,0.33
1985-09-12T19:00,,25.9,91,0.384,0.33
1985-09-12T20:00,,25.9,92,0.381,0.331
1985-09-12T21:00,,25.7,93,0.379,0.332
1985-09-12T22:00,,25.4,94,0.379,0.333
1985-09-12T23:00,,25.1,94,0.382,0.333
1985-09-13T00:00,,24.8,95,0.391,0.334
1985-09-13T01:00,,24.7,96,0.415,0.335
1985-09-13T02:00,,25.0,94,0.436,0.339
1985-09-13T03:00,,25.6,92,0.413,0.352
1985-09-13T04:00,,26.7,88,0.407,0.354
1985-09-13T05:00,,27.9,86,0.403,0.356
1985-09-13T06:00,,29.0,83,0.4,0.356
1985-09-13T07:00,,29.3,83,0.4,0.357
1985-09-13T08:00,,30.0,80,0.4,0.358
1985-09-13T09:00,,29.9,75,0.42,0.359
1985-09-13T10:00,,28.7,79,0.439,0.362
1985-09-13T11:00,,28.1,82,0.384,0.383
1985-09-13T12:00,,27.3,87,0.386,0.382
1985-09-13T13:00,,26.5,91,0.401,0.383
1985-09-13T14:00,,26.1,92,0.408,0.383
1985-09-13T15:00,,25.9,94,0.411,0.384
1985-09-13T16:00,,25.6,95,0.422,0.385
1985-09-13T17:00,,25.3,95,0.429,0.388
1985-09-13T18:00,,25.0,97,0.421,0.391
1985-09-13T19:00,,25.5,91,0.421,0.392
1985-09-13T20:00,,25.2,94,0.421,0.394
1985-09-13T21:00,,24.9,95,0.427,0.395
1985-09-13T22:00,,24.7,96,0.434,0.398
1985-09-13T23:00,,24.6,96,0.439,0.404
