time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.1,95,0.401,0.339
1985-09-11T01:00,,25.1,95,0.413,0.341
1985-09-11T02:00,,25.5,93,0.422,0.344
1985-09-11T03:00,,26.4,87,0.415,0.348
1985-09-11T04:00,,27.7,84,0.408,0.35
1985-09-11T05:00,,29.0,82,0.403,0.351
1985-09-11T06:00,,29.8,77,0.402,0.352
1985-09-11T07:00,,27.5,81,0.439,0.354
1985-09-11T08:00,,26.6,88,0.385,0.376
1985-09-11T09:00,,26.4,89,0.396,0.377
1985-09-11T10:00,,26.1,92,0.409,0.377
1985-09-11T11:00,,25.5,92,0.429,0.379
1985-09-11T12:00,,25.4,93,0.426,0.384
1985-09-11T13:00,,25.3,93,0.423,0.387
1985-09-11T14:00,,25.3,94,0.424,0.389
1985-09-11T15:00,,25.3,94,0.425,0.391
1985-09-11T16:00,,25.2,94,0.423,0.393
1985-09-11T17:00,,25.2,93,0.42,0.395
1985-09-11T18:00,,25.1,93,0.418,0.396
1985-09-11T19:00,,25.3,91,0.415,0.397
1985-09-11T20:00,,25.2,91,0.413,0.398
1985-09-11T21:00,,25.1,90,0.411,0.398
1985-09-11T22:00,,25.1,89,0.409,0.399
1985-09-11T23:00,,25.2,89,0.407,0.399
1985-09-12T00:00,,25.0,89,0.406,0.399
1985-09-12T01:00,,25.1,90,0.404,0.399
1985-09-12T02:00,,26.3,87,0.403,0.399
1985-09-12T03:00,,27.8,80,0.401,0.399
1985-09-12T04:00,,28.9,76,0.398,0.398
1985-09-12T05:00,,29.8,73,0.396,0.397
1985-09-12T06:00,,30.7,70,0.393,0.396
1985-09-12T07:00,,31.5,66,0.389,0.395
1985-09-12T08:00,,31.8,64,0.387,0.393
1985-09-12T09:00,,31.5,65,0.384,0.392
1985-09-12T10:00,,30.6,70,0.383,0.391
1985-09-12T11:00,,29.5,76,0.402,0.391
1985-09-12T12:00,,29.1,78,0.401,0.391
1985-09-12T13:00,,28.4,80,0.399,0.391
1985-09-12T14:00,,27.9,83,0.398,0.392
1985-09-12T15:00,,27.5,84,0.397,0.392
1985-09-12T16:00,,27.2,86,0.396,0.392
1985-09-12T17:00,,26.8,87,0.395,0.392
1985-09-12T18:00,,26.6,88,0.394,0.392
1985-09-12T19:00,,26.9,87,0.393,0.392
1985-09-12T20:00,,26.9,88,0.392,0.391
1985-09-12T21:00,,26.7,88,0.392,0.391
1985-09-12T22:00,,26.4,89,0.391,0.391
1985-09-12T23:00,,26.2,89,0.39,0.391
1985-09-13T00:00,,25.9,90,0.39,0.391
1985-09-13T01:00,,26.0,89,0.389,0.391
1985-09-13T02:00,,26.9,86,0.388,0.391
1985-09-13T03:00,,28.0,82,0.387,0.39
1985-09-13T04:00,,29.2,79,0.385,0.389
1985-09-13T05:00,,30.3,76,0.384,0.388
1985-09-13T06:00,,30.8,71,0.383,0.388
1985-09-13T07:00,,31.3,69,0.381,0.387
1985-09-13T08:00,,31.6,68,0.38,0.386
1985-09-13T09:00,,31.4,67,0.38,0.385
1985-09-13T10:00,,30.5,70,0.382,0.385
1985-09-13T11:00,,29.7,74,0.383,0.384
1985-09-13T12:00,,28.9,79,0.387,0.384
1985-09-13T13:00,,27.7,85,0.392,0.384
1985-09-13T14:00,,27.2,88,0.391,0.384
1985-09-13T15:00,,26.8,89,0.39,0.385
1985-09-13T16:00,,26.5,90,0.389,0.385
1985-09-13T17:00,,26.2,90,0.388,0.385
1985-09-13T18:00,,26.1,91,0.388,0.385
1985-09-13T19:00,,26.8,87,0.387,0.385
1985-09-13T20:00,,26.6,88,0.386,0.385
1985-09-13T21:00,,26.5,89,0.386,0.385
1985-09-13T22:00,,26.3,90,0.385,0.385
1985-09-13T23:00,,26.1,90,0.385,0.385
