time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.4,96,0.268,0.301
1985-09-11T01:00,,25.5,96,0.269,0.301
1985-09-11T02:00,,26.4,90,0.269,0.301
1985-09-11T03:00,,27.4,85,0.269,0.301
1985-09-11T04:00,,28.6,80,0.268,0.3
1985-09-11T05:00,,29.4,79,0.267,0.3
1985-09-11T06:00,,30.0,78,0.267,0.299
1985-09-11T07:00,,30.0,75,0.266,0.298
1985-09-11T08:00,,30.2,74,0.266,0.298
1985-09-11T09:00,,30.1,75,0.267,0.297
1985-09-11T10:00,,29.7,76,0.271,0.297
1985-09-11T11:00,,29.3,77,0.285,0.297
1985-09-11T12:00,,28.4,81,0.299,0.297
1985-09-11T13:00,,27.8,86,0.306,0.297
1985-09-11T14:00,,26.6,92,0.324,0.297
1985-09-11T15:00,,25.2,93,0.343,0.297
1985-09-11T16:00,,24.7,94,0.344,0.297
1985-09-11T17:00,,24.6,94,0.346,0.298
1985-09-11T18:00,,24.5,94,0.346,0.298
1985-09-11T19:00,,24.7,92,0.345,0.299
1985-09-11T20:00,,24.8,92,0.344,0.299
1985-09-11T21:00,,24.8,92,0.344,0.299
1985-09-11T22:00,,24.7,93,0.345,0.3
1985-09-11T23:00,,24.8,92,0.347,0.3
1985-09-12T00:00,,24.9,91,0.347,0.301
1985-09-12T01:00,,25.0,90,0.347,0.301
1985-09-12T02:00,,25.1,89,0.35,0.301
1985-09-12T03:00,,25.7,86,0.362,0.302
1985-09-12T04:00,,26.1,84,0.379,0.303
1985-09-12T05:00,,26.9,79,0.378,0.304
1985-09-12T06:00,,27.5,77,0.375,0.304
1985-09-12T07:00,,30.2,70,0.371,0.305
1985-09-12T08:00,,30.5,68,0.368,0.305
1985-09-12T09:00,,30.5,68,0.365,0.305
1985-09-12T10:00,,30.3,70,0.363,0.305
1985-09-12T11:00,,29.9,72,0.363,0.305
1985-09-12T12:00,,28.1,81,0.404,0.306
1985-09-12T13:00,,27.1,85,0.41,0.309
1985-09-12T14:00,,26.5,90,0.402,0.312
1985-09-12T15:00,,26.1,91,0.396,0.314
1985-09-12T16:00,,25.8,92,0.392,0.315
1985-09-12T17:00,,25.6,93,0.388,0.317
1985-09-12T18:00,,25.3,96,0.385,0.318
1985-09-12T19:00,,25.9,95,0.383,0.319
1985-09-12T20:00,,25.5,96,0.401,0.32
1985-09-12T21:00,,25.0,98,0.43,0.322
1985-09-12T22:00,,24.6,98,0.433,0.331
1985-09-12T23:00,,24.3,98,0.431,0.342
1985-09-13T00:00,,24.1,96,0.431,0.35
1985-09-13T01:00,,23.9,96,0.428,0.358
1985-09-13T02:00,,24.0,95,0.432,0.363
1985-09-13T03:00,,24.3,94,0.427,0.37
1985-09-13T04:00,,24.4,94,0.427,0.374
1985-09-13T05:00,,24.6,94,0.431,0.378
1985-09-13T06:00,,24.9,90,0.421,0.382
1985-09-13T07:00,,27.3,80,0.415,0.384
1985-09-13T08:00,,28.0,78,0.41,0.385
1985-09-13T09:00,,28.3,79,0.406,0.385
1985-09-13T10:00,,28.6,79,0.404,0.385
1985-09-13T11:00,,28.7,79,0.401,0.385
1985-09-13T12:00,,27.6,83,0.415,0.386
1985-09-13T13:00,,26.5,91,0.416,0.387
1985-09-13T14:00,,25.5,94,0.432,0.389
1985-09-13T15:00,,25.1,95,0.425,0.393
1985-09-13T16:00,,24.9,96,0.419,0.395
1985-09-13T17:00,,24.8,97,0.415,0.396
1985-09-13T18:00,,24.7,97,0.429,0.397
1985-09-13T19:00,,24.0,97,0.439,0.403
1985-09-13T20:00,,23.8,97,0.421,0.422
1985-09-13T21:00,,23.8,96,0.427,0.421
1985-09-13T22:00,,23.9,96,0.427,0.421
1985-09-13T23:00,,23.9,96,0.425,0.421
