time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.1,95,0.314,0.305
1985-09-11T01:00,,25.1,96,0.316,0.305
1985-09-11T02:00,,25.9,92,0.32,0.306
1985-09-11T03:00,,26.5,86,0.319,0.306
1985-09-11T04:00,,27.9,81,0.319,0.306
1985-09-11T05:00,,28.8,80,0.319,0.305
1985-09-11T06:00,,29.4,80,0.319,0.305
1985-09-11T07:00,,28.3,81,0.32,0.305
1985-09-11T08:00,,28.7,82,0.32,0.305
1985-09-11T09:00,,29.1,81,0.32,0.304
1985-09-11T10:00,,29.5,79,0.32,0.304
1985-09-11T11:00,,28.3,79,0.349,0.304
1985-09-11T12:00,,25.9,90,0.38,0.305
1985-09-11T13:00,,25.3,93,0.392,0.306
1985-09-11T14:00,,25.1,94,0.392,0.308
1985-09-11T15:00,,25.2,93,0.392,0.31
1985-09-11T16:00,,25.1,94,0.39,0.311
1985-09-11T17:00,,25.0,94,0.386,0.312
1985-09-11T18:00,,24.9,93,0.392,0.314
1985-09-11T19:00,,24.9,93,0.391,0.315
1985-09-11T20:00,,24.9,93,0.388,0.316
1985-09-11T21:00,,24.8,91,0.385,0.318
1985-09-11T22:00,,24.4,91,0.385,0.319
1985-09-11T23:00,,24.1,92,0.389,0.32
1985-09-12T00:00,,23.9,92,0.396,0.321
1985-09-12T01:00,,23.9,93,0.405,0.323
1985-09-12T02:00,,24.3,92,0.407,0.325
1985-09-12T03:00,,25.1,90,0.405,0.327
1985-09-12T04:00,,25.8,86,0.4,0.329
1985-09-12T05:00,,27.2,80,0.395,0.33
1985-09-12T06:00,,28.1,77,0.39,0.331
1985-09-12T07:00,,30.5,72,0.385,0.331
1985-09-12T08:00,,31.2,68,0.381,0.331
1985-09-12T09:00,,31.3,67,0.377,0.331
1985-09-12T10:00,,30.8,70,0.378,0.331
1985-09-12T11:00,,28.8,79,0.421,0.332
1985-09-12T12:00,,27.8,84,0.401,0.342
1985-09-12T13:00,,27.0,89,0.396,0.344
1985-09-12T14:00,,26.4,91,0.392,0.346
1985-09-12T15:00,,26.2,93,0.389,0.347
1985-09-12T16:00,,25.9,93,0.386,0.347
1985-09-12T17:00,,25.8,93,0.384,0.348
1985-09-12T18:00,,25.8,92,0.382,0.349
1985-09-12T19:00,,26.1,91,0.381,0.349
1985-09-12T20:00,,25.9,92,0.384,0.35
1985-09-12T21:00,,25.7,92,0.389,0.35
1985-09-12T22:00,,25.3,93,0.398,0.351
1985-09-12T23:00,,24.8,94,0.421,0.353
1985-09-13T00:00,,24.4,94,0.439,0.358
1985-09-13T01:00,,24.2,95,0.396,0.383
1985-09-13T02:00,,24.7,93,0.409,0.383
1985-09-13T03:00,,25.4,91,0.415,0.384
1985-09-13T04:00,,26.4,87,0.412,0.385
1985-09-13T05:00,,27.4,85,0.409,0.386
1985-09-13T06:00,,28.6,77,0.407,0.386
1985-09-13T07:00,,28.7,81,0.405,0.386
1985-09-13T08:00,,29.2,80,0.403,0.386
1985-09-13T09:00,,29.6,78,0.403,0.386
1985-09-13T10:00,,28.7,79,0.432,0.387
1985-09-13T11:00,,26.9,87,0.425,0.403
1985-09-13T12:00,,26.2,88,0.409,0.408
1985-09-13T13:00,,26.0,89,0.407,0.408
1985-09-13T14:00,,25.9,90,0.406,0.408
1985-09-13T15:00,,25.7,91,0.405,0.407
1985-09-13T16:00,,25.4,93,0.404,0.407
1985-09-13T17:00,,25.2,94,0.407,0.407
1985-09-13T18:00,,24.7,95,0.439,0.408
1985-09-13T19:00,,24.5,96,0.424,0.426
1985-09-13T20:00,,24.3,96,0.439,0.426
1985-09-13T21:00,,24.1,97,0.426,0.438
1985-09-13T22:00,,23.9,98,0.421,0.429
1985-09-13T23:00,,23.8,98,0.428,0.43
