time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,24.7,97,0.398,0.333
1985-09-11T01:00,,24.9,97,0.394,0.335
1985-09-11T02:00,,26.0,91,0.391,0.336
1985-09-11T03:00,,26.5,91,0.389,0.337
1985-09-11T04:00,,27.1,89,0.389,0.338
1985-09-11T05:00,,27.5,87,0.389,0.338
1985-09-11T06:00,,28.5,85,0.387,0.339
1985-09-11T07:00,,28.4,79,0.394,0.34
1985-09-11T08:00,,26.8,84,0.439,0.341
1985-09-11T09:00,,26.4,86,0.373,0.364
1985-09-11T10:00,,26.0,90,0.375,0.364
1985-09-11T11:00,,26.1,90,0.376,0.364
1985-09-11T12:00,,25.9,90,0.376,0.365
1985-09-11T13:00,,25.5,93,0.387,0.365
1985-09-11T14:00,,25.1,95,0.393,0.365
1985-09-11T15:00,,25.1,95,0.401,0.366
1985-09-11T16:00,,25.0,95,0.404,0.367
1985-09-11T17:00,,24.9,96,0.408,0.368
1985-09-11T18:00,,24.9,96,0.411,0.369
1985-09-11T19:00,,25.0,95,0.419,0.371
1985-09-11T20:00,,24.9,95,0.428,0.374
1985-09-11T21:00,,25.0,95,0.421,0.377
1985-09-11T22:00,,24.9,96,0.419,0.38
1985-09-11T23:00,,24.9,95,0.417,0.381
1985-09-12T00:00,,24.8,96,0.415,0.383
1985-09-12T01:00,,24.9,95,0.411,0.384
1985-09-12T02:00,,25.5,93,0.408,0.385
1985-09-12T03:00,,26.7,88,0.405,0.386
1985-09-12T04:00,,28.0,84,0.402,0.386
1985-09-12T05:00,,29.2,81,0.399,0.385
1985-09-12T06:00,,30.1,79,0.397,0.385
1985-09-12T07:00,,30.8,73,0.393,0.384
1985-09-12T08:00,,31.2,70,0.39,0.384
1985-09-12T09:00,,30.9,70,0.388,0.383
1985-09-12T10:00,,30.5,69,0.388,0.382
1985-09-12T11:00,,29.7,73,0.388,0.382
1985-09-12T12:00,,28.9,79,0.388,0.382
1985-09-12T13:00,,28.1,83,0.387,0.382
1985-09-12T14:00,,27.6,85,0.386,0.382
1985-09-12T15:00,,27.3,87,0.386,0.382
1985-09-12T16:00,,27.0,88,0.385,0.382
1985-09-12T17:00,,26.9,88,0.384,0.382
1985-09-12T18:00,,26.7,88,0.384,0.382
1985-09-12T19:00,,26.9,86,0.383,0.382
1985-09-12T20:00,,26.7,86,0.383,0.382
1985-09-12T21:00,,26.5,87,0.382,0.382
1985-09-12T22:00,,26.3,88,0.382,0.382
1985-09-12T23:00,,26.2,89,0.381,0.382
1985-09-13T00:00,,26.1,89,0.381,0.382
1985-09-13T01:00,,26.0,91,0.382,0.382
1985-09-13T02:00,,26.8,88,0.384,0.381
1985-09-13T03:00,,27.6,88,0.385,0.381
1985-09-13T04:00,,28.8,80,0.385,0.381
1985-09-13T05:00,,29.9,76,0.394,0.381
1985-09-13T06:00,,30.3,74,0.392,0.381
1985-09-13T07:00,,31.1,71,0.391,0.38
1985-09-13T08:00,,31.3,71,0.39,0.38
1985-09-13T09:00,,31.4,68,0.388,0.379
1985-09-13T10:00,,31.2,69,0.386,0.379
1985-09-13T11:00,,28.6,79,0.4,0.379
1985-09-13T12:00,,28.2,82,0.4,0.379
1985-09-13T13:00,,27.5,85,0.404,0.38
1985-09-13T14:00,,27.0,87,0.402,0.381
1985-09-13T15:00,,26.7,89,0.4,0.381
1985-09-13T16:00,,26.4,90,0.399,0.381
1985-09-13T17:00,,26.1,91,0.4,0.382
1985-09-13T18:00,,25.7,93,0.419,0.383
1985-09-13T19:00,,25.8,93,0.42,0.385
1985-09-13T20:00,,25.5,94,0.43,0.387
1985-09-13T21:00,,25.3,94,0.438,0.391
1985-09-13T22:00,,25.1,95,0.429,0.401
1985-09-13T23:00,,24.9,95,0.436,0.404
