time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.2,92,0.262,0.29
1985-09-11T01:00,,25.1,93,0.262,0.289
1985-09-11T02:00,,25.9,88,0.262,0.289
1985-09-11T03:00,,26.9,83,0.262,0.289
1985-09-11T04:00,,28.0,80,0.262,0.289
1985-09-11T05:00,,29.0,78,0.261,0.288
1985-09-11T06:00,,29.4,78,0.262,0.288
1985-09-11T07:00,,27.6,82,0.263,0.288
1985-09-11T08:00,,28.2,81,0.264,0.288
1985-09-11T09:00,,28.6,80,0.264,0.287
1985-09-11T10:00,,28.4,81,0.301,0.287
1985-09-11T11:00,,26.7,85,0.393,0.288
1985-09-11T12:00,,25.7,92,0.404,0.29
1985-09-11T13:00,,25.5,92,0.4,0.293
1985-09-11T14:00,,25.2,93,0.396,0.295
1985-09-11T15:00,,25.0,94,0.391,0.297
1985-09-11T16:00,,24.8,94,0.388,0.298
1985-09-11T17:00,,24.4,96,0.39,0.3
1985-09-11T18:00,,24.3,96,0.392,0.301
1985-09-11T19:00,,24.7,93,0.387,0.303
1985-09-11T20:00,,24.9,92,0.384,0.304
1985-09-11T21:00,,25.1,92,0.383,0.305
1985-09-11T22:00,,25.0,92,0.388,0.306
1985-09-11T23:00,,24.6,93,0.399,0.308
1985-09-12T00:00,,24.2,94,0.41,0.31
1985-09-12T01:00,,23.9,96,0.416,0.313
1985-09-12T02:00,,24.3,95,0.415,0.317
1985-09-12T03:00,,24.9,93,0.411,0.32
1985-09-12T04:00,,25.5,90,0.404,0.323
1985-09-12T05:00,,26.8,84,0.399,0.325
1985-09-12T06:00,,27.5,82,0.395,0.326
1985-09-12T07:00,,30.2,70,0.389,0.327
1985-09-12T08:00,,30.6,69,0.384,0.327
1985-09-12T09:00,,31.1,66,0.38,0.327
1985-09-12T10:00,,30.7,67,0.376,0.327
1985-09-12T11:00,,28.4,78,0.388,0.328
1985-09-12T12:00,,27.7,82,0.387,0.329
1985-09-12T13:00,,27.1,85,0.386,0.33
1985-09-12T14:00,,26.5,89,0.384,0.331
1985-09-12T15:00,,26.1,91,0.381,0.331
1985-09-12T16:00,,25.9,91,0.379,0.332
1985-09-12T17:00,,25.6,92,0.377,0.333
1985-09-12T18:00,,25.6,92,0.376,0.333
1985-09-12T19:00,,25.9,91,0.374,0.334
1985-09-12T20:00,,25.8,91,0.372,0.334
1985-09-12T21:00,,25.7,92,0.371,0.335
1985-09-12T22:00,,25.4,93,0.372,0.335
1985-09-12T23:00,,25.1,94,0.385,0.336
1985-09-13T00:00,,24.7,95,0.409,0.337
1985-09-13T01:00,,24.5,95,0.424,0.339
1985-09-13T02:00,,24.6,95,0.423,0.344
1985-09-13T03:00,,25.0,93,0.426,0.348
1985-09-13T04:00,,25.9,91,0.414,0.353
1985-09-13T05:00,,27.0,89,0.408,0.355
1985-09-13T06:00,,28.2,86,0.405,0.356
1985-09-13T07:00,,27.7,82,0.401,0.357
1985-09-13T08:00,,28.3,82,0.398,0.357
1985-09-13T09:00,,28.8,80,0.395,0.358
1985-09-13T10:00,,28.6,81,0.396,0.358
1985-09-13T11:00,,27.3,84,0.439,0.36
1985-09-13T12:00,,26.1,90,0.408,0.387
1985-09-13T13:00,,25.6,93,0.411,0.388
1985-09-13T14:00,,25.5,94,0.408,0.389
1985-09-13T15:00,,25.1,96,0.417,0.389
1985-09-13T16:00,,24.9,96,0.431,0.391
1985-09-13T17:00,,24.7,97,0.432,0.395
1985-09-13T18:00,,24.5,97,0.438,0.4
1985-09-13T19:00,,24.3,96,0.42,0.407
1985-09-13T20:00,,24.3,97,0.425,0.408
1985-09-13T21:00,,24.2,97,0.431,0.409
1985-09-13T22:00,,24.0,98,0.433,0.412
1985-09-13T23:00,,23.9,99,0.438,0.415
