time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,25.6,91,0.476,0.486
1985-10-16T01:00,,25.6,91,0.48,0.486
1985-10-16T02:00,,25.8,91,0.484,0.486
1985-10-16T03:00,,26.1,91,0.486,0.486
1985-10-16T04:00,,26.6,89,0.487,0.486
1985-10-16T05:00,,26.8,88,0.494,0.486
1985-10-16T06:00,,26.9,89,0.505,0.487
1985-10-16T07:00,,26.5,89,0.505,0.489
1985-10-16T08:00,,26.0,91,0.518,0.491
1985-10-16T09:00,,26.3,91,0.458,0.514
1985-10-16T10:00,,25.8,92,0.49,0.508
1985-10-16T11:00,,25.8,93,0.495,0.51
1985-10-16T12:00,,25.9,93,0.51,0.51
1985-10-16T13:00,,25.9,93,0.517,0.511
1985-10-16T14:00,,26.0,93,0.463,0.519
1985-10-16T15:00,,26.1,93,0.417,0.493
1985-10-16T16:00,,26.0,94,0.459,0.494
1985-10-16T17:00,,25.8,94,0.513,0.492
1985-10-16T18:00,,25.4,94,0.505,0.518
1985-10-16T19:00,,25.3,94,0.449,0.503
1985-10-16T20:00,,25.4,93,0.457,0.5
1985-10-16T21:00,,25.3,93,0.498,0.5
1985-10-16T22:00,,25.2,93,0.506,0.5
1985-10-16T23:00,,25.4,93,0.51,0.501
1985-10-17T00:00,,25.7,93,0.509,0.503
1985-10-17T01:00,,26.1,92,0.507,0.504
1985-10-17T02:00,,26.7,90,0.504,0.505
1985-10-17T03:00,,27.7,86,0.502,0.505
1985-10-17T04:00,,28.6,82,0.5,0.504
1985-10-17T05:00,,28.3,80,0.499,0.504
1985-10-17T06:00,,28.8,79,0.497,0.503
1985-10-17T07:00,,28.5,77,0.497,0.502
1985-10-17T08:00,,29.1,74,0.495,0.502
1985-10-17T09:00,,29.3,74,0.493,0.501
1985-10-17T10:00,,29.1,75,0.491,0.5
1985-10-17T11:00,,28.6,77,0.489,0.5
1985-10-17T12:00,,27.9,79,0.489,0.499
1985-10-17T13:00,,27.4,81,0.488,0.499
1985-10-17T14:00,,27.0,84,0.488,0.499
1985-10-17T15:00,,26.6,87,0.487,0.498
1985-10-17T16:00,,26.2,90,0.487,0.498
1985-10-17T17:00,,25.8,92,0.486,0.498
1985-10-17T18:00,,25.5,93,0.486,0.498
1985-10-17T19:00,,25.0,91,0.486,0.497
1985-10-17T20:00,,24.7,91,0.485,0.497
1985-10-17T21:00,,24.3,92,0.485,0.497
1985-10-17T22:00,,23.9,94,0.485,0.496
1985-10-17T23:00,,23.6,94,0.485,0.496
1985-10-18T00:00,,23.3,94,0.484,0.496
1985-10-18T01:00,,24.0,94,0.484,0.495
1985-10-18T02:00,,26.4,82,0.484,0.495
1985-10-18T03:00,,27.6,76,0.483,0.494
1985-10-18T04:00,,28.7,69,0.481,0.493
1985-10-18T05:00,,29.1,67,0.48,0.493
1985-10-18T06:00,,29.6,66,0.478,0.491
1985-10-18T07:00,,29.8,61,0.476,0.49
1985-10-18T08:00,,29.7,62,0.474,0.489
1985-10-18T09:00,,29.6,63,0.473,0.488
1985-10-18T10:00,,29.3,65,0.472,0.488
1985-10-18T11:00,,28.3,72,0.473,0.487
1985-10-18T12:00,,27.5,77,0.473,0.487
1985-10-18T13:00,,26.5,86,0.473,0.487
1985-10-18T14:00,,25.7,90,0.473,0.486
1985-10-18T15:00,,25.0,92,0.473,0.486
1985-10-18T16:00,,24.5,93,0.473,0.486
1985-10-18T17:00,,24.1,94,0.473,0.485
1985-10-18T18:00,,23.9,94,0.473,0.485
1985-10-18T19:00,,23.7,86,0.473,0.485
1985-10-18T20:00,,23.3,85,0.473,0.484
1985-10-18T21:00,,23.1,84,0.473,0.484
1985-10-18T22:00,,22.7,82,0.473,0.484
1985-10-18T23:00,,22.4,81,0.473,0.484
