time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,24.8,95,0.462,0.429
1985-10-16T01:00,,24.7,96,0.459,0.432
1985-10-16T02:00,,24.7,96,0.471,0.434
1985-10-16T03:00,,25.2,93,0.445,0.449
1985-10-16T04:00,,25.5,93,0.452,0.449
1985-10-16T05:00,,25.9,93,0.453,0.45
1985-10-16T06:00,,26.1,93,0.467,0.451
1985-10-16T07:00,,26.0,91,0.473,0.454
1985-10-16T08:00,,26.0,89,0.45,0.461
1985-10-16T09:00,,26.1,87,0.451,0.46
1985-10-16T10:00,,26.0,87,0.454,0.459
1985-10-16T11:00,,25.8,87,0.454,0.458
1985-10-16T12:00,,25.8,87,0.454,0.458
1985-10-16T13:00,,25.6,88,0.455,0.457
1985-10-16T14:00,,25.5,89,0.46,0.457
1985-10-16T15:00,,25.5,90,0.463,0.457
1985-10-16T16:00,,25.4,91,0.467,0.457
1985-10-16T17:00,,25.1,93,0.471,0.459
1985-10-16T18:00,,25.0,93,0.463,0.466
1985-10-16T19:00,,25.3,91,0.433,0.47
1985-10-16T20:00,,25.1,93,0.411,0.455
1985-10-16T21:00,,25.0,93,0.417,0.454
1985-10-16T22:00,,25.0,92,0.425,0.453
1985-10-16T23:00,,25.0,92,0.437,0.453
1985-10-17T00:00,,25.1,92,0.445,0.454
1985-10-17T01:00,,25.3,91,0.447,0.455
1985-10-17T02:00,,25.6,90,0.447,0.454
1985-10-17T03:00,,26.6,87,0.446,0.453
1985-10-17T04:00,,27.6,83,0.445,0.453
1985-10-17T05:00,,27.9,81,0.444,0.452
1985-10-17T06:00,,28.0,80,0.444,0.451
1985-10-17T07:00,,28.0,79,0.442,0.45
1985-10-17T08:00,,28.5,76,0.44,0.449
1985-10-17T09:00,,28.5,76,0.438,0.448
1985-10-17T10:00,,28.4,76,0.437,0.447
1985-10-17T11:00,,27.7,79,0.436,0.446
1985-10-17T12:00,,27.0,82,0.436,0.445
1985-10-17T13:00,,26.3,85,0.435,0.445
1985-10-17T14:00,,25.9,87,0.435,0.445
1985-10-17T15:00,,25.5,89,0.435,0.444
1985-10-17T16:00,,25.3,90,0.434,0.444
1985-10-17T17:00,,24.9,91,0.434,0.443
1985-10-17T18:00,,24.7,92,0.433,0.443
1985-10-17T19:00,,24.3,91,0.433,0.442
1985-10-17T20:00,,23.9,93,0.432,0.442
1985-10-17T21:00,,23.5,94,0.432,0.442
1985-10-17T22:00,,23.3,95,0.431,0.441
1985-10-17T23:00,,23.0,95,0.431,0.441
1985-10-18T00:00,,22.7,96,0.431,0.441
1985-10-18T01:00,,23.2,96,0.43,0.44
1985-10-18T02:00,,25.7,87,0.43,0.44
1985-10-18T03:00,,27.2,80,0.429,0.439
1985-10-18T04:00,,28.5,69,0.426,0.438
1985-10-18T05:00,,29.2,60,0.424,0.437
1985-10-18T06:00,,29.7,56,0.421,0.435
1985-10-18T07:00,,29.7,56,0.418,0.434
1985-10-18T08:00,,29.7,55,0.416,0.433
1985-10-18T09:00,,29.7,54,0.414,0.431
1985-10-18T10:00,,29.2,58,0.412,0.43
1985-10-18T11:00,,28.3,65,0.412,0.43
1985-10-18T12:00,,26.8,71,0.412,0.429
1985-10-18T13:00,,25.2,82,0.412,0.429
1985-10-18T14:00,,24.5,82,0.412,0.429
1985-10-18T15:00,,23.8,84,0.412,0.429
1985-10-18T16:00,,22.7,88,0.412,0.428
1985-10-18T17:00,,21.8,91,0.412,0.428
1985-10-18T18:00,,21.5,92,0.412,0.428
1985-10-18T19:00,,21.1,87,0.412,0.428
1985-10-18T20:00,,20.7,86,0.412,0.427
1985-10-18T21:00,,20.4,86,0.412,0.427
1985-10-18T22:00,,20.0,86,0.412,0.427
1985-10-18T23:00,,19.5,87,0.413,0.427
