time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,24.2,97,0.437,0.432
1985-10-16T01:00,,24.1,97,0.434,0.437
1985-10-16T02:00,,23.8,99,0.432,0.435
1985-10-16T03:00,,23.9,99,0.439,0.438
1985-10-16T04:00,,24.1,99,0.439,0.438
1985-10-16T05:00,,24.6,95,0.414,0.432
1985-10-16T06:00,,24.9,94,0.42,0.429
1985-10-16T07:00,,25.2,95,0.434,0.429
1985-10-16T08:00,,25.3,95,0.435,0.431
1985-10-16T09:00,,25.4,94,0.432,0.432
1985-10-16T10:00,,25.1,94,0.43,0.431
1985-10-16T11:00,,25.0,93,0.43,0.431
1985-10-16T12:00,,24.7,93,0.435,0.431
1985-10-16T13:00,,24.6,93,0.434,0.433
1985-10-16T14:00,,24.6,93,0.418,0.436
1985-10-16T15:00,,24.6,92,0.408,0.429
1985-10-16T16:00,,24.6,92,0.42,0.428
1985-10-16T17:00,,24.5,93,0.432,0.429
1985-10-16T18:00,,24.5,93,0.437,0.432
1985-10-16T19:00,,24.6,93,0.413,0.436
1985-10-16T20:00,,24.5,93,0.424,0.433
1985-10-16T21:00,,24.3,93,0.433,0.433
1985-10-16T22:00,,24.2,93,0.439,0.434
1985-10-16T23:00,,24.1,92,0.421,0.439
1985-10-17T00:00,,24.1,92,0.401,0.429
1985-10-17T01:00,,24.2,92,0.404,0.427
1985-10-17T02:00,,24.5,91,0.408,0.426
1985-10-17T03:00,,24.9,90,0.41,0.425
1985-10-17T04:00,,25.2,90,0.412,0.424
1985-10-17T05:00,,26.2,87,0.413,0.423
1985-10-17T06:00,,26.6,85,0.414,0.422
1985-10-17T07:00,,27.1,81,0.413,0.422
1985-10-17T08:00,,27.7,77,0.411,0.421
1985-10-17T09:00,,27.8,77,0.41,0.42
1985-10-17T10:00,,27.5,78,0.409,0.419
1985-10-17T11:00,,27.0,80,0.408,0.418
1985-10-17T12:00,,26.2,82,0.407,0.417
1985-10-17T13:00,,25.6,86,0.406,0.417
1985-10-17T14:00,,25.1,88,0.405,0.416
1985-10-17T15:00,,24.7,90,0.404,0.416
1985-10-17T16:00,,24.5,92,0.404,0.415
1985-10-17T17:00,,24.2,93,0.403,0.414
1985-10-17T18:00,,23.9,94,0.402,0.414
1985-10-17T19:00,,23.8,92,0.401,0.413
1985-10-17T20:00,,23.4,94,0.401,0.412
1985-10-17T21:00,,23.1,96,0.4,0.412
1985-10-17T22:00,,22.7,96,0.4,0.411
1985-10-17T23:00,,22.6,96,0.399,0.41
1985-10-18T00:00,,22.5,96,0.399,0.41
1985-10-18T01:00,,22.9,94,0.398,0.409
1985-10-18T02:00,,24.6,87,0.397,0.409
1985-10-18T03:00,,26.2,76,0.396,0.408
1985-10-18T04:00,,27.6,63,0.394,0.406
1985-10-18T05:00,,28.6,54,0.391,0.405
1985-10-18T06:00,,29.2,50,0.388,0.404
1985-10-18T07:00,,29.3,50,0.386,0.402
1985-10-18T08:00,,29.6,48,0.383,0.401
1985-10-18T09:00,,29.6,47,0.381,0.399
1985-10-18T10:00,,29.2,50,0.38,0.398
1985-10-18T11:00,,27.6,75,0.379,0.398
1985-10-18T12:00,,26.2,70,0.379,0.397
1985-10-18T13:00,,24.4,76,0.379,0.396
1985-10-18T14:00,,23.3,76,0.379,0.396
1985-10-18T15:00,,22.2,80,0.379,0.395
1985-10-18T16:00,,20.9,85,0.379,0.395
1985-10-18T17:00,,20.0,87,0.379,0.394
1985-10-18T18:00,,19.6,86,0.379,0.394
1985-10-18T19:00,,19.1,85,0.379,0.393
1985-10-18T20:00,,18.7,86,0.379,0.393
1985-10-18T21:00,,18.2,87,0.379,0.393
1985-10-18T22:00,,17.8,88,0.379,0.392
1985-10-18T23:00,,17.4,88,0.379,0.392
