time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,25.4,93,0.485,0.489
1985-10-16T01:00,,25.0,95,0.515,0.49
1985-10-16T02:00,,25.1,94,0.49,0.508
1985-10-16T03:00,,25.5,93,0.442,0.505
1985-10-16T04:00,,25.9,91,0.456,0.501
1985-10-16T05:00,,26.1,91,0.478,0.5
1985-10-16T06:00,,26.0,91,0.508,0.5
1985-10-16T07:00,,26.4,88,0.485,0.504
1985-10-16T08:00,,26.4,87,0.467,0.494
1985-10-16T09:00,,26.3,86,0.471,0.494
1985-10-16T10:00,,26.3,86,0.474,0.494
1985-10-16T11:00,,26.3,86,0.476,0.494
1985-10-16T12:00,,26.2,85,0.478,0.494
1985-10-16T13:00,,26.1,85,0.479,0.494
1985-10-16T14:00,,26.1,85,0.48,0.494
1985-10-16T15:00,,25.9,87,0.483,0.494
1985-10-16T16:00,,25.8,88,0.489,0.494
1985-10-16T17:00,,25.5,90,0.492,0.494
1985-10-16T18:00,,25.3,91,0.504,0.495
1985-10-16T19:00,,25.6,90,0.494,0.499
1985-10-16T20:00,,25.4,90,0.493,0.495
1985-10-16T21:00,,25.3,91,0.501,0.496
1985-10-16T22:00,,25.3,91,0.504,0.499
1985-10-16T23:00,,25.5,90,0.51,0.5
1985-10-17T00:00,,25.6,89,0.478,0.505
1985-10-17T01:00,,25.7,88,0.449,0.492
1985-10-17T02:00,,26.4,86,0.452,0.491
1985-10-17T03:00,,27.2,83,0.453,0.49
1985-10-17T04:00,,27.9,79,0.454,0.49
1985-10-17T05:00,,28.1,78,0.454,0.489
1985-10-17T06:00,,28.3,75,0.454,0.488
1985-10-17T07:00,,28.4,76,0.453,0.486
1985-10-17T08:00,,28.9,74,0.452,0.485
1985-10-17T09:00,,28.7,75,0.451,0.484
1985-10-17T10:00,,28.4,76,0.451,0.483
1985-10-17T11:00,,27.8,79,0.451,0.483
1985-10-17T12:00,,27.0,81,0.451,0.482
1985-10-17T13:00,,26.5,83,0.451,0.482
1985-10-17T14:00,,26.1,85,0.452,0.481
1985-10-17T15:00,,25.9,86,0.453,0.481
1985-10-17T16:00,,25.7,87,0.453,0.48
1985-10-17T17:00,,25.4,89,0.453,0.48
1985-10-17T18:00,,25.0,91,0.454,0.479
1985-10-17T19:00,,24.3,94,0.454,0.479
1985-10-17T20:00,,24.0,94,0.454,0.479
1985-10-17T21:00,,23.9,95,0.455,0.478
1985-10-17T22:00,,23.6,95,0.455,0.478
1985-10-17T23:00,,23.5,95,0.455,0.478
1985-10-18T00:00,,23.4,95,0.456,0.478
1985-10-18T01:00,,24.0,95,0.456,0.477
1985-10-18T02:00,,26.3,87,0.456,0.477
1985-10-18T03:00,,27.5,82,0.455,0.476
1985-10-18T04:00,,28.5,74,0.454,0.475
1985-10-18T05:00,,29.2,68,0.451,0.474
1985-10-18T06:00,,29.7,64,0.449,0.473
1985-10-18T07:00,,29.9,62,0.446,0.472
1985-10-18T08:00,,29.8,59,0.444,0.471
1985-10-18T09:00,,29.8,57,0.442,0.469
1985-10-18T10:00,,29.5,58,0.441,0.469
1985-10-18T11:00,,28.6,66,0.441,0.468
1985-10-18T12:00,,27.1,74,0.441,0.468
1985-10-18T13:00,,25.7,82,0.441,0.467
1985-10-18T14:00,,25.4,80,0.441,0.467
1985-10-18T15:00,,25.8,76,0.442,0.467
1985-10-18T16:00,,25.4,78,0.442,0.467
1985-10-18T17:00,,24.2,84,0.443,0.467
1985-10-18T18:00,,23.1,88,0.443,0.466
1985-10-18T19:00,,21.7,89,0.443,0.466
1985-10-18T20:00,,21.2,89,0.444,0.466
1985-10-18T21:00,,20.9,88,0.444,0.466
1985-10-18T22:00,,20.7,87,0.444,0.466
1985-10-18T23:00,,20.3,86,0.444,0.465
