time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,24.5,96,0.418,0.437
1985-10-16T01:00,,24.3,97,0.426,0.431
1985-10-16T02:00,,24.1,99,0.438,0.432
1985-10-16T03:00,,24.3,99,0.438,0.438
1985-10-16T04:00,,25.0,94,0.42,0.429
1985-10-16T05:00,,25.2,93,0.427,0.429
1985-10-16T06:00,,25.2,95,0.438,0.429
1985-10-16T07:00,,25.8,92,0.414,0.437
1985-10-16T08:00,,25.8,92,0.419,0.431
1985-10-16T09:00,,25.7,92,0.425,0.43
1985-10-16T10:00,,25.5,92,0.425,0.429
1985-10-16T11:00,,25.6,91,0.423,0.428
1985-10-16T12:00,,25.5,90,0.421,0.427
1985-10-16T13:00,,25.5,90,0.42,0.426
1985-10-16T14:00,,25.5,89,0.419,0.425
1985-10-16T15:00,,25.6,88,0.419,0.424
1985-10-16T16:00,,25.4,89,0.42,0.423
1985-10-16T17:00,,25.1,92,0.423,0.423
1985-10-16T18:00,,25.0,92,0.436,0.423
1985-10-16T19:00,,25.1,91,0.429,0.426
1985-10-16T20:00,,25.0,92,0.432,0.426
1985-10-16T21:00,,24.9,92,0.438,0.427
1985-10-16T22:00,,24.7,92,0.42,0.437
1985-10-16T23:00,,24.6,92,0.426,0.432
1985-10-17T00:00,,24.4,92,0.435,0.432
1985-10-17T01:00,,24.4,92,0.433,0.432
1985-10-17T02:00,,24.7,92,0.43,0.431
1985-10-17T03:00,,25.3,90,0.428,0.43
1985-10-17T04:00,,25.9,88,0.426,0.429
1985-10-17T05:00,,26.5,86,0.425,0.428
1985-10-17T06:00,,26.8,84,0.424,0.427
1985-10-17T07:00,,27.1,83,0.422,0.426
1985-10-17T08:00,,28.0,78,0.418,0.425
1985-10-17T09:00,,28.1,77,0.416,0.424
1985-10-17T10:00,,28.0,78,0.414,0.423
1985-10-17T11:00,,27.4,80,0.413,0.422
1985-10-17T12:00,,26.5,83,0.412,0.421
1985-10-17T13:00,,25.8,86,0.411,0.42
1985-10-17T14:00,,25.4,88,0.41,0.42
1985-10-17T15:00,,25.0,90,0.409,0.419
1985-10-17T16:00,,24.8,91,0.408,0.418
1985-10-17T17:00,,24.5,92,0.407,0.418
1985-10-17T18:00,,24.2,93,0.406,0.417
1985-10-17T19:00,,24.0,92,0.405,0.417
1985-10-17T20:00,,23.7,93,0.404,0.416
1985-10-17T21:00,,23.5,94,0.404,0.416
1985-10-17T22:00,,23.2,96,0.403,0.415
1985-10-17T23:00,,23.1,96,0.402,0.415
1985-10-18T00:00,,23.0,96,0.402,0.414
1985-10-18T01:00,,23.4,95,0.401,0.414
1985-10-18T02:00,,25.2,88,0.401,0.413
1985-10-18T03:00,,26.7,79,0.399,0.412
1985-10-18T04:00,,28.0,65,0.397,0.411
1985-10-18T05:00,,28.9,55,0.394,0.409
1985-10-18T06:00,,29.4,52,0.391,0.408
1985-10-18T07:00,,29.5,52,0.388,0.406
1985-10-18T08:00,,29.6,51,0.386,0.405
1985-10-18T09:00,,29.6,51,0.384,0.403
1985-10-18T10:00,,29.3,54,0.382,0.402
1985-10-18T11:00,,28.0,73,0.382,0.402
1985-10-18T12:00,,26.3,76,0.382,0.401
1985-10-18T13:00,,25.1,75,0.382,0.401
1985-10-18T14:00,,24.3,75,0.382,0.4
1985-10-18T15:00,,23.0,80,0.382,0.4
1985-10-18T16:00,,21.4,86,0.382,0.4
1985-10-18T17:00,,20.7,88,0.383,0.399
1985-10-18T18:00,,20.2,88,0.383,0.399
1985-10-18T19:00,,19.8,86,0.383,0.399
1985-10-18T20:00,,19.4,85,0.383,0.398
1985-10-18T21:00,,18.9,86,0.383,0.398
1985-10-18T22:00,,18.5,87,0.383,0.398
1985-10-18T23:00,,18.0,88,0.383,0.398
