state_name,district,latitude,longitude,elevation_m,slope_percent,terrain_class,terrain_data_source,stcode,dtcode,historical_flood_events,historical_flood_years,historical_fatalities,historical_displaced,historical_max_severity,historical_max_impact,historical_data_available
Manipur,Kamjong,24.796875,94.392713,1403.0,10.87369928159328,non_hilly,SRTM30m,14.0,717.0,2.0,2.0,33.0,62000.0,2.0,6.921603781912,1
Madhya Pradesh,Anuppur,23.035743,81.390492,781.0,1.011135706243126,non_hilly,SRTM30m,23.0,390.0,7.0,6.0,3362.0,4115000.0,2.0,7.6772792647922,1
Madhya Pradesh,Ashoknagar,24.618374,77.878765,460.0,0.1088551131845769,non_hilly,SRTM30m,23.0,391.0,4.0,3.0,683.0,848060.0,1.5,7.6772792647922,1
Madhya Pradesh,Balaghat,21.861079,80.323596,462.0,11.816064704590854,non_hilly,SRTM30m,23.0,392.0,11.0,10.0,4543.0,1431000.0,2.0,7.6772792647922,1
Madhya Pradesh,Harda,22.242797,77.117917,305.0,0.4348218751149451,non_hilly,SRTM30m,23.0,408.0,6.0,5.0,875.0,908060.0,1.5,7.6772792647922,1
Madhya Pradesh,Narmadapuram,22.600282,77.926984,340.0,1.135599337944857,non_hilly,SRTM30m,23.0,409.0,7.0,6.0,915.0,925060.0,1.5,7.6772792647922,1
Madhya Pradesh,Indore,22.710812,75.807693,559.0,0.5446453230508688,non_hilly,SRTM30m,23.0,410.0,7.0,5.0,911.0,908060.0,1.5,7.6772792647922,1
Madhya Pradesh,Jabalpur,23.223166,79.982607,391.0,0.576203291655127,non_hilly,SRTM30m,23.0,411.0,6.0,6.0,752.0,911060.0,1.5,7.6772792647922,1
Madhya Pradesh,Jhabua,22.88692,74.724386,390.0,2.51410970206162,non_hilly,SRTM30m,23.0,412.0,14.0,13.0,1560.0,1356077.0,2.0,7.6772792647922,1
Madhya Pradesh,Katni,23.717649,80.261021,410.0,0.6946747606039899,non_hilly,SRTM30m,23.0,413.0,8.0,8.0,1010.0,3959060.0,1.5,7.6772792647922,1
Madhya Pradesh,Khargone,21.954473,75.752125,208.0,0.6938240486281475,non_hilly,SRTM30m,23.0,414.0,13.0,11.0,1880.0,927860.0,1.5,7.6772792647922,1
Madhya Pradesh,Mandla,22.687176,80.583176,490.0,1.9144363811722367,non_hilly,SRTM30m,23.0,415.0,5.0,5.0,3077.0,825000.0,2.0,7.6772792647922,1
Puducherry,Pondicherry,11.921836,79.794853,7.0,0.5286093548123109,non_hilly,SRTM30m,34.0,600.0,15.0,13.0,890.0,1212300.0,2.0,6.7995324061198,1
Puducherry,Yanam,16.73321,82.205175,4.0,0.2252252252252252,non_hilly,SRTM30m,34.0,601.0,21.0,16.0,8254.0,7776000.0,2.0,7.6772792647922,1
Rajasthan,Jaipur,27.150559,75.746774,488.0,0.82380499773731,non_hilly,SRTM30m,8.0,102.0,8.0,7.0,1971.0,3355183.0,2.0,7.6772792647922,1
Rajasthan,Jaisalmer,27.027373,70.777652,162.0,0.3652574549768173,non_hilly,SRTM30m,8.0,103.0,6.0,6.0,1930.0,2951017.0,1.5,7.6772792647922,1
