village_id,village_name,district,date,rainfall_1d,rainfall_3d,rainfall_6d,rainfall_24h,rainfall_intensity,soil_moisture,river_level,elevation,slope,aspect,flow_accumulation,distance_to_river,historical_flood_frequency,forecast_rainfall,land_use,flood_target_N_hours,risk_score,lead_time_hrs
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-01T00:00:00,1.58,37.93,75.86,1.58,0.85,30.94,1.4,2050,28.5,145.0,380.0,45,5,0.62,Urban Settlement,0,11.1,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-01T03:00:00,1.67,20.03,40.06,1.67,0.05,30.33,1.4,2050,28.5,145.0,380.0,45,5,2.4,Urban Settlement,0,11.1,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-01T06:00:00,31.65,253.23,506.46,31.65,17.24,41.01,1.49,2050,28.5,145.0,380.0,45,5,0.85,Urban Settlement,0,13.7,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-01T09:00:00,31.76,190.55,381.11,31.76,0.05,40.4,1.48,2050,28.5,145.0,380.0,45,5,2.1,Urban Settlement,0,11.6,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-01T12:00:00,32.06,153.87,307.74,32.06,0.16,39.86,1.48,2050,28.5,145.0,380.0,45,5,0.56,Urban Settlement,0,11.5,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-01T15:00:00,32.24,128.95,257.9,32.24,0.09,39.28,1.47,2050,28.5,145.0,380.0,45,5,3.14,Urban Settlement,0,11.5,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-01T18:00:00,32.35,110.93,221.86,32.35,0.06,38.68,1.46,2050,28.5,145.0,380.0,45,5,0.19,Urban Settlement,0,11.4,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-01T21:00:00,32.85,98.54,197.07,32.85,0.23,38.21,1.46,2050,28.5,145.0,380.0,45,5,3.8,Urban Settlement,0,11.5,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-02T00:00:00,33.03,92.31,184.61,33.03,0.88,38.23,1.45,2050,28.5,145.0,380.0,45,5,0.39,Urban Settlement,0,11.4,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-02T03:00:00,33.55,84.53,169.06,33.55,0.28,37.81,1.45,2050,28.5,145.0,380.0,45,5,1.98,Urban Settlement,0,11.4,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-02T06:00:00,3.58,76.88,153.77,3.58,0.01,37.17,1.45,2050,28.5,145.0,380.0,45,5,2.65,Urban Settlement,0,11.4,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-02T09:00:00,3.68,70.87,141.74,3.68,0.1,36.59,1.44,2050,28.5,145.0,380.0,45,5,0.74,Urban Settlement,0,11.3,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-02T12:00:00,5.21,68.8,137.61,5.21,1.08,36.63,1.44,2050,28.5,145.0,380.0,45,5,3.58,Urban Settlement,0,11.5,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-02T15:00:00,5.51,64.71,129.42,5.51,0.22,36.16,1.44,2050,28.5,145.0,380.0,45,5,0.78,Urban Settlement,0,11.3,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-02T18:00:00,5.42,60.43,120.87,5.42,0.01,35.52,1.43,2050,28.5,145.0,380.0,45,5,1.09,Urban Settlement,0,11.3,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-02T21:00:00,5.85,58.05,116.09,5.85,0.46,35.22,1.43,2050,28.5,145.0,380.0,45,5,2.17,Urban Settlement,0,11.3,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-03T00:00:00,4.16,54.74,109.49,4.16,0.04,34.6,1.43,2050,28.5,145.0,380.0,45,5,3.95,Urban Settlement,0,11.3,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-03T03:00:00,4.33,52.74,105.48,4.33,0.35,34.25,1.43,2050,28.5,145.0,380.0,45,5,3.26,Urban Settlement,0,11.3,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-03T06:00:00,4.96,50.78,101.55,4.96,0.36,33.84,1.43,2050,28.5,145.0,380.0,45,5,0.3,Urban Settlement,0,11.2,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-03T09:00:00,5.0,48.52,97.03,5.0,0.14,33.28,1.42,2050,28.5,145.0,380.0,45,5,2.49,Urban Settlement,0,11.3,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-03T12:00:00,3.37,46.45,92.9,3.37,0.1,32.71,1.42,2050,28.5,145.0,380.0,45,5,1.3,Urban Settlement,0,11.2,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-03T15:00:00,3.58,45.09,90.17,3.58,0.4,32.32,1.42,2050,28.5,145.0,380.0,45,5,1.89,Urban Settlement,0,11.2,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-03T18:00:00,3.62,43.2,86.39,3.62,0.04,31.69,1.42,2050,28.5,145.0,380.0,45,5,2.25,Urban Settlement,0,11.2,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-03T21:00:00,3.47,42.17,84.34,3.47,0.41,31.34,1.42,2050,28.5,145.0,380.0,45,5,1.71,Urban Settlement,0,11.2,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-04T00:00:00,3.41,40.6,80.99,3.41,0.01,30.69,1.42,2050,28.5,145.0,380.0,45,5,2.55,Urban Settlement,0,11.2,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-04T03:00:00,2.83,40.71,78.24,2.83,0.12,30.12,1.42,2050,28.5,145.0,380.0,45,5,1.0,Urban Settlement,0,11.2,12.0
VIL_001,Manali Urban (Old Manali),Kullu,2024-05-04T06:00:00,2.46,11.0,75.84,2.46,0.13,29.57,1.42,2050,28.5,145.0,380.0,45,5,0.31,Urban Settlement,0,11.1,12.0
